DATA;PRESIDIO;TIPO_RICOVERO;RICOVERI
12/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;5
12/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;4 - RIC.PROGRAMMATO CON PREOSPEDAL;1
13/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;25
13/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;85
13/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;2
13/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;9
13/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;1
13/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;14
13/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;2
13/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;9
14/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;26
14/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;89
14/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;2
14/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;6
14/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;3
14/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;13
14/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;4
14/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;8
15/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;43
15/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;61
15/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
15/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;11
15/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;2
15/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;11
15/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;5
15/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;9
16/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;17
16/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;33
16/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;4
16/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;5
16/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;5
17/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;9
17/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;20
17/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;4
17/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;3
17/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;2
18/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;51
18/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;79
18/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
18/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;4
18/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;2
18/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;10
18/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;1
18/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;5
18/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;4 - RIC.PROGRAMMATO CON PREOSPEDAL;1
19/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;25
19/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;61
19/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
19/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;8
19/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;6
19/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;5
19/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;10
19/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;4 - RIC.PROGRAMMATO CON PREOSPEDAL;2
20/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;30
20/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;58
20/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;3
20/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;7
20/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;3
20/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;17
20/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;2
20/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;13
20/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;4 - RIC.PROGRAMMATO CON PREOSPEDAL;1
21/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;36
21/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;61
21/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;4
21/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;10
21/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;3
21/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;11
21/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;1
21/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;8
21/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;4 - RIC.PROGRAMMATO CON PREOSPEDAL;3
22/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;50
22/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;72
22/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;5
22/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;7
22/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;2
22/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;7
22/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;1
22/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;5
23/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;20
23/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;22
23/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;5
23/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;5
23/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;1
23/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;3
23/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;4
24/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;15
24/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;18
24/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;2
24/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;1
24/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;1
25/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;41
25/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;71
25/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
25/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;11
25/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;3
25/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;8
25/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;3
25/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;5
26/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;36
26/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;72
26/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
26/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;8
26/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;17
26/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;6
26/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;4 - RIC.PROGRAMMATO CON PREOSPEDAL;1
27/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;42
27/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;70
27/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;2
27/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;3
27/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;5
27/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;8
27/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;2
27/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;6
27/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;4 - RIC.PROGRAMMATO CON PREOSPEDAL;2
28/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;44
28/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;63
28/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
28/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;3
28/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;3
28/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;6
28/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;1
28/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;8
28/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;4 - RIC.PROGRAMMATO CON PREOSPEDAL;3
29/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;41
29/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;86
29/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;4
29/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;5
29/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;3
29/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;13
29/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;4
29/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;6
30/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;26
30/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;23
30/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;4
30/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;3
30/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;3
30/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;1
30/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;1
30/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;4 - RIC.PROGRAMMATO CON PREOSPEDAL;2
31/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;17
31/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;15
31/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
31/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;6
31/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;6
31/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;3
01/02/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;51
01/02/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;59
01/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;4
01/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;2
01/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;2
01/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;15
01/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;2
01/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;11
01/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;4 - RIC.PROGRAMMATO CON PREOSPEDAL;1
02/02/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;26
02/02/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;83
02/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;10
02/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;10
02/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;2
02/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;5
03/02/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;45
03/02/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;68
03/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
03/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;7
03/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;3
03/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;13
03/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;4
03/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;3
03/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;4 - RIC.PROGRAMMATO CON PREOSPEDAL;2
04/02/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;34
04/02/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;63
04/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
04/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;7
04/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;4
04/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;15
04/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;2
04/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;11
05/02/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;47
05/02/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;74
05/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;2
05/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;6
05/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;1
05/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;12
05/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;2
05/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;6
05/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;4 - RIC.PROGRAMMATO CON PREOSPEDAL;2
06/02/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;25
06/02/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;35
06/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;1
06/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;2
06/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;4
07/02/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;12
07/02/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;13
07/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
07/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;5
07/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;1
08/02/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;44
08/02/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;64
08/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;2
08/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;11
08/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;1
08/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;22
08/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;3
08/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;3
08/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;4 - RIC.PROGRAMMATO CON PREOSPEDAL;3
09/02/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;27
09/02/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;80
09/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;5
09/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;12
09/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;1
09/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;9
09/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;4
09/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;5
09/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;4 - RIC.PROGRAMMATO CON PREOSPEDAL;2
10/02/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;44
10/02/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;81
10/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;10
10/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;2
10/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;7
10/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;2
10/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;9
10/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;4 - RIC.PROGRAMMATO CON PREOSPEDAL;2
11/02/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;46
11/02/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;76
11/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;4
11/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;6
11/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;17
11/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;5
11/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;7
12/02/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;41
12/02/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;73
12/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;4
12/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;12
12/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;4
12/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;13
12/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;11
12/02/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;4 - RIC.PROGRAMMATO CON PREOSPEDAL;2
13/02/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;15
13/02/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;32
13/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;3
13/02/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;6
13/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;1
13/02/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;3
