DATA;PRESIDIO;TRIAGE_INGRESSO;ACCESSI
01/07/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;78
01/07/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;8
01/07/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;4
01/07/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;52
01/07/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;110
01/07/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;29
01/08/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;8
01/08/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;28
01/08/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;1
01/08/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;6
01/08/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;23
01/08/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;6
01/08/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;26
01/08/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;59
01/08/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;5
01/08/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;6
01/08/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;61
01/08/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;131
01/08/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;30
01/09/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;3
01/09/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;10
01/09/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;31
01/09/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;1
01/09/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;1 - ROSSO;1
01/09/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;8
01/09/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;39
01/09/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;5
01/09/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;27
01/09/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;60
01/09/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;7
01/09/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;7
01/09/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;60
01/09/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;119
01/09/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;23
01/10/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;1
01/10/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;28
01/10/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;22
01/10/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;2
01/10/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;1 - ROSSO;1
01/10/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;10
01/10/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;37
01/10/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;4
01/10/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;22
01/10/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;66
01/10/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;10
01/10/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;10
01/10/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;55
01/10/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;138
01/10/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;25
01/11/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;2
01/11/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;10
01/11/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;29
01/11/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;1
01/11/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;1 - ROSSO;2
01/11/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;6
01/11/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;35
01/11/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;10
01/11/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;29
01/11/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;63
01/11/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;9
01/11/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;10
01/11/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;56
01/11/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;112
01/11/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;20
01/12/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;12
01/12/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;35
01/12/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;1
01/12/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;8
01/12/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;23
01/12/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;6
01/12/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;19
01/12/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;57
01/12/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;6
01/12/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;7
01/12/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;65
01/12/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;128
01/12/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;30
01/13/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;3
01/13/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;11
01/13/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;23
01/13/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;1 - ROSSO;1
01/13/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;5
01/13/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;30
01/13/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;2
01/13/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;1 - ROSSO;1
01/13/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;19
01/13/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;73
01/13/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;9
01/13/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;11
01/13/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;64
01/13/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;119
01/13/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;19
01/14/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;1
01/14/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;13
01/14/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;29
01/14/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;1
01/14/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;1 - ROSSO;1
01/14/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;2
01/14/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;29
01/14/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;6
01/14/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;1 - ROSSO;1
01/14/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;30
01/14/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;62
01/14/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;6
01/14/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;6
01/14/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;45
01/14/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;130
01/14/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;19
01/15/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;10
01/15/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;27
01/15/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;3
01/15/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;1 - ROSSO;2
01/15/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;8
01/15/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;23
01/15/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;4
01/15/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;25
01/15/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;75
01/15/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;11
01/15/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;12
01/15/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;35
01/15/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;98
01/15/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;15
01/16/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;15
01/16/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;32
01/16/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;2
01/16/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;3
01/16/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;29
01/16/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;5
01/16/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;1 - ROSSO;1
01/16/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;32
01/16/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;60
01/16/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;15
01/16/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;15
01/16/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;50
01/16/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;100
01/16/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;27
01/17/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;3
01/17/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;10
01/17/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;32
01/17/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;4
01/17/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;1 - ROSSO;2
01/17/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;11
01/17/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;28
01/17/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;10
01/17/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;1 - ROSSO;1
01/17/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;25
01/17/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;67
01/17/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;11
01/17/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;6
01/17/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;77
01/17/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;123
01/17/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;23
01/18/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;4
01/18/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;19
01/18/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;26
01/18/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;1
01/18/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;5
01/18/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;36
01/18/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;4
01/18/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;1 - ROSSO;3
01/18/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;22
01/18/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;54
01/18/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;8
01/18/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;7
01/18/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;61
01/18/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;110
01/18/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;23
01/19/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;18
01/19/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;24
01/19/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;2
01/19/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;8
01/19/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;22
01/19/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;4
01/19/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;1 - ROSSO;1
01/19/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;27
01/19/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;58
01/19/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;9
